,question,answer,paragraph_text,pnumber,law_name
0,"Hvilken type sag skal være anlagt mod en direktør for et fondsmæglerselskab, før Finanstilsynet må påbyde at pågældende direktør må afsættes?",En straffesag.,"Finanstilsynet kan påbyde et fondsmæglerselskab eller en fondsmæglerholdingvirksomhed at afsætte et medlem af direktionen inden for en frist, der er fastsat af Finanstilsynet, hvis medlemmet af direktionen efter § 75, stk. 1, eller § 76 ikke kan bestride stillingen. Finanstilsynet kan påbyde et medlem af bestyrelsen i et fondsmæglerselskab eller en fondsmæglerholdingvirksomhed at nedlægge sit hverv inden for en frist, der er fastsat af Finanstilsynet, hvis bestyrelsesmedlemmet efter § 75, stk. 1, eller § 76 ikke kan bestride hvervet. Finanstilsynet kan påbyde et fondsmæglerselskab at afsætte en direktør, når der er rejst tiltale mod den pågældende i en straffesag om overtrædelse af straffeloven, den finansielle lovgivning eller anden relevant lovgivning, indtil straffesagen er afgjort, hvis domfældelse vil indebære, at direktøren ikke opfylder kravene i § 75, stk. 1, nr. 3. Varigheden af påbud meddelt efter stk. 2 på baggrund af § 75, stk. 1, nr. 2 og 4-6, skal fremgå af påbuddet. Påbud meddelt i henhold til stk. 1-3 kan af fondsmæglerselskabet eller fondsmæglerholdingvirksomheden og af den person, som påbuddet vedrører, forlanges indbragt for domstolene. Finanstilsynet kan af egen drift eller efter ansøgning tilbagekalde et påbud meddelt efter stk. 2 og stk. 3, 3. pkt. Afslår Finanstilsynet en ansøgning om at tilbagekalde påbuddet, kan ansøgeren forlange afslaget indbragt for domstolene. Har fondsmæglerselskabet eller fondsmæglerholdingvirksomheden ikke afsat direktøren inden for den fastsatte frist, kan Finanstilsynet inddrage fondsmæglerselskabets eller fondsmæglerholdingvirksomhedens tilladelse.",242,LBK nr 232 af 01/03/2024
1,"Hvad skal en virksomhed, som har ansat minimum 10 personer, der gør tjeneste som besætningsmedlemmer på et luftfartøj?",Oprette en arbejdsmiljøorganisation.,"I virksomheder med 10 ansatte eller derover, som gør tjeneste som besætningsmedlemmer på luftfartøj, oprettes en arbejdsmiljøorganisation. Arbejdsmiljøorganisationen udgøres af højst 4 arbejdsmiljørepræsentanter og et tilsvarende antal repræsentanter for arbejdsgiveren. Arbejdsmiljøorganisationen skal inden for virksomheden være rådgivende med hensyn til planlægning og gennemførelse af foranstaltninger af betydning for arbejdsmiljøet for tjeneste på luftfartøjer. Arbejdsmiljøorganisationen skal mødes mindst 1 gang årligt.",40 e,LBK nr 76 af 24/01/2024
3,"Hvem betaler for den lægelige dokumentation, en lønmodtager skal påvise til indfrielse af erstatningsferie?",Lønmodtageren.,"Er en lønmodtager syg, når ferien begynder, har lønmodtageren ikke pligt til at begynde ferien. En lønmodtager, som bliver syg under ferien, har mod lægelig dokumentation ret til erstatningsferie efter i alt 5 sygedage under ferie i samme ferieår. Lønmodtageren betaler for den lægelige dokumentation, jf. stk. 2. Ved opgørelsen af erstatningsferie efter stk. 1 og 2 ses bort fra sygedage forud for den dag, hvor lønmodtageren giver arbejdsgiveren meddelelse om sygdommen, medmindre manglende meddelelse ikke kan bebrejdes lønmodtageren. En lønmodtager omfattet af stk. 1 eller 2, som bliver rask, før den planlagte ferieperiode er ovre, har ret til i forlængelse af sin raskmelding at holde den resterende del af den planlagte ferieperiode, såfremt lønmodtageren ved sin raskmelding giver besked herom.",12,LBK nr 152 af 20/02/2024
4,Hvem afholder som udgangspunkt udgifter forbundet med kommunal tandpleje?,Bopælskommunen.,"Bopælskommunen afholder udgifter forbundet med tandpleje efter §§ 131, 133, 134 a og 135. Tilbyder en anden kommune end bopælskommunen tandpleje til borgere med særlige sociale problemer, jf. § 134 a, stk. 1, har denne kommune ret til mellemkommunal refusion for udgifter til tandpleje efter § 134 a, stk. 1, fra bopælskommunen.",249,LBK nr 1015 af 05/09/2024
5,For hvor mange år fastsættes en aftale om statslig tilskud til den enkelte kommunes små storbyteatre?,4 år.,"Statens tilskud til den enkelte kommunes små storbyteatre fastsættes under et i en 4-årig aftale mellem staten og kommunen. Tilskud til husleje kan kun udgøre indtil 15 pct. af det tilskudsberettigede kommunale driftstilskud til det enkelte lille storbyteater. Statstilskuddet ydes kun, såfremt kommunen har indgået minimum 3-årige aftaler om driftstilskud med de enkelte teatre. Kulturministeren fastsætter efter forhandling med Kommunernes Landsforening nærmere regler om ordningen for små storbyteatre. Kulturministeren kan i forbindelse med kulturaftaler med kommuner m.v. fravige bestemmelserne i stk. 1-4 og i § 16 a.",16 b,LBK nr 1473 af 30/11/2023
6,"Hvilken skattebetaling nedsætter til nul, hvis det ultimative moderselskab hører til en jurisdiktion med en selskabskattesats på 20 procent eller derover?",Ekstraskatten.,"Er det ultimative moderselskab hjemmehørende i en jurisdiktion med en selskabsskattesats på 20 pct. eller højere, nedsættes ekstraskatten efter reglerne i afsnit III om underbeskattet overskud til nul for hvert regnskabsår af højst 12 måneders varighed, der påbegyndes den 31. december 2025 eller før, og som slutter senest den 30. december 2026.",75,LOV nr 1535 af 12/12/2023
7,"Hvilken minister fastsætter regler om deltagerbetaling for kursister, som er på efterløn eller aldersbetinget pension, og som ikke har en arbejdsmarkedstilknytning eller en videregående uddannelse?",Børne- og undervisningsministeren.,"Børne- og undervisningsministeren fastsætter regler om, at kursister, der modtager efterløn eller en aldersbetinget pension, og som ikke eller kun i mindre omfang har arbejdsmarkedstilknytning, og som deltager i almen voksenuddannelse eller hf-enkeltfag, og som ikke er omfattet af § 30, stk. 4, skal betale en deltagerbetaling, der er højere end den, andre kursister skal betale efter regler fastsat i henhold til § 47, stk. 1, eller efter § 48, stk. 1. Børne- og undervisningsministeren skal for kursister omfattet af regler fastsat i henhold til stk. 1 nedsætte en eller flere takster pr. årselev, som er fastsat på de årlige finanslove, for de taxametertilskud, der ydes efter § 30, stk. 1-3, med det beløb, hvormed deltagerbetalingen er forhøjet for de pågældende kursister. Regler fastsat efter stk. 1 og takstnedsættelse efter stk. 2 kan tidligst have virkning for undervisningsforløb, der påbegyndes 1 måned efter bekendtgørelsens offentliggørelse i Lovtidende.",49 a,LBK nr 146 af 14/02/2024
8,Hvad har Rådet for Dyreforsøg til enhver tid uden retskendelse mod behørig legitimation adgang til?,"Forsøgslokaler og andre lokaler, hvor forsøgsdyr anbringes.","Rådet og personer, som rådet har bemyndiget hertil, har til enhver tid uden retskendelse mod behørig legitimation adgang til forsøgslokaler og andre lokaler, hvor forsøgsdyr anbringes, med henblik på at tilvejebringe oplysninger til brug for tilsynet. Den, der leder forsøgene, og personer, der er beskæftiget med forsøgene eller med dyrenes pasning, skal yde tilsynsmyndigheden vejledning og hjælp under tilsyn efter stk. 1.",11,LBK nr 63 af 19/01/2024
9,Hvem foretager vurderingen af lediges uddannelses- eller beskæftigelsespotentiale?,Jobcenteret.,"Beskæftigelsesministeren fastsætter regler om, hvordan jobcenteret skal foretage vurderingen af de lediges uddannelses- eller beskæftigelsespotentiale. Beskæftigelsesministeren fastsætter regler om et landsdækkende digitalt afklarings- og dialogværktøj, som kan benyttes af jobcentre og arbejdsløshedskasser.",8,LBK nr 280 af 01/03/2024
10,Efter hvilken lovs regler behandles et administrationsbo under konkursbehandling?,Konkursloven.,"Tages administrationsboet under konkursbehandling, behandles boet i overensstemmelse med konkurslovens regler, jf. dog stk. 2. Aktiverne i administrationsboet, herunder finansielle instrumenter, opgjort efter fradrag af udgifter til administrator anvendes i lige forhold til betaling af krav fra indehaverne af de særligt dækkede obligationer, modparter på de finansielle instrumenter, som de registrerede aktiver og aftaler ligger til grund for, indehavere af eventuelle refinansieringsobligationer udstedt af administrator i medfør af § 247 h, stk. 1, og dækning af lån, som administrationsboet har optaget i medfør af § 247 h, stk. 2.",247 i,LBK nr 1013 af 21/08/2024
11,"Hvem skal en sundhedsfaglig person sende en ansøgning til, såfremt vedkommende søger tilladelse til at få generhvervet sin autorisation?",Styrelsen for Patientsikkerhed.,"Styrelsen for Patientsikkerhed kan efter ansøgning give en person, der har fået frataget sin autorisation efter § 7 b eller indskrænket sit virksomhedsområde efter § 8 a, tilladelse til at generhverve autorisationen eller få ophævet indskrænkningen af virksomhedsområdet. En person kan forlange Styrelsen for Patientsikkerheds afslag på generhvervelse af autorisationen eller ophævelse af indskrænkningen af virksomhedsområde efter stk. 1 indbragt for domstolene. Begæring om domstolsprøvelse efter stk. 2 skal fremsættes over for Styrelsen for Patientsikkerhed, senest 3 uger efter at afgørelsen efter stk. 1 er meddelt den pågældende.",11 c,LBK nr 1008 af 29/08/2024
12,"Hvad skal jord have en skadelig virkning på, hvis det skal forstås som forurenet jord?","Grundvand, menneskers sundhed og miljøet i øvrigt.","Ved forurenet jord forstås jord, der på grund af menneskelig påvirkning kan have skadelig virkning på grundvand, menneskers sundhed og miljøet i øvrigt.",83 c,LBK nr 928 af 28/06/2024
