,question,answer,paragraph_text,pnumber,law_name
0,,,"Finanstilsynet kan påbyde et fondsmæglerselskab eller en fondsmæglerholdingvirksomhed at afsætte et medlem af direktionen inden for en frist, der er fastsat af Finanstilsynet, hvis medlemmet af direktionen efter § 75, stk. 1, eller § 76 ikke kan bestride stillingen. Finanstilsynet kan påbyde et medlem af bestyrelsen i et fondsmæglerselskab eller en fondsmæglerholdingvirksomhed at nedlægge sit hverv inden for en frist, der er fastsat af Finanstilsynet, hvis bestyrelsesmedlemmet efter § 75, stk. 1, eller § 76 ikke kan bestride hvervet. Finanstilsynet kan påbyde et fondsmæglerselskab at afsætte en direktør, når der er rejst tiltale mod den pågældende i en straffesag om overtrædelse af straffeloven, den finansielle lovgivning eller anden relevant lovgivning, indtil straffesagen er afgjort, hvis domfældelse vil indebære, at direktøren ikke opfylder kravene i § 75, stk. 1, nr. 3. Varigheden af påbud meddelt efter stk. 2 på baggrund af § 75, stk. 1, nr. 2 og 4-6, skal fremgå af påbuddet. Påbud meddelt i henhold til stk. 1-3 kan af fondsmæglerselskabet eller fondsmæglerholdingvirksomheden og af den person, som påbuddet vedrører, forlanges indbragt for domstolene. Finanstilsynet kan af egen drift eller efter ansøgning tilbagekalde et påbud meddelt efter stk. 2 og stk. 3, 3. pkt. Afslår Finanstilsynet en ansøgning om at tilbagekalde påbuddet, kan ansøgeren forlange afslaget indbragt for domstolene. Har fondsmæglerselskabet eller fondsmæglerholdingvirksomheden ikke afsat direktøren inden for den fastsatte frist, kan Finanstilsynet inddrage fondsmæglerselskabets eller fondsmæglerholdingvirksomhedens tilladelse.",242,LBK nr 232 af 01/03/2024
1,,,"I virksomheder med 10 ansatte eller derover, som gør tjeneste som besætningsmedlemmer på luftfartøj, oprettes en arbejdsmiljøorganisation. Arbejdsmiljøorganisationen udgøres af højst 4 arbejdsmiljørepræsentanter og et tilsvarende antal repræsentanter for arbejdsgiveren. Arbejdsmiljøorganisationen skal inden for virksomheden være rådgivende med hensyn til planlægning og gennemførelse af foranstaltninger af betydning for arbejdsmiljøet for tjeneste på luftfartøjer. Arbejdsmiljøorganisationen skal mødes mindst 1 gang årligt.",40 e,LBK nr 76 af 24/01/2024
2,,,"Se note 2. Se note 2. virksomheder, der indsamler affald, virksomheder, der indsamler affald, affaldstransportører, anlæg, der behandler genanvendeligt erhvervsaffald, forhandlere og mæglere af affald og personer, der har bevis for at kunne forestå indberetning af data og miljømæssig forsvarlig håndtering af affaldet, jf. § 7, stk. 3, nr. 4. Klima-, energi- og forsyningsministeren kan endvidere fastsætte regler om virksomheders, anlægs, transportørers, forhandleres og mægleres og personers pligt til at tilmelde sig registrene og om deres pligt til at indberette oplysninger hertil.",45 d,LBK nr 928 af 28/06/2024
3,,,"Er en lønmodtager syg, når ferien begynder, har lønmodtageren ikke pligt til at begynde ferien. En lønmodtager, som bliver syg under ferien, har mod lægelig dokumentation ret til erstatningsferie efter i alt 5 sygedage under ferie i samme ferieår. Lønmodtageren betaler for den lægelige dokumentation, jf. stk. 2. Ved opgørelsen af erstatningsferie efter stk. 1 og 2 ses bort fra sygedage forud for den dag, hvor lønmodtageren giver arbejdsgiveren meddelelse om sygdommen, medmindre manglende meddelelse ikke kan bebrejdes lønmodtageren. En lønmodtager omfattet af stk. 1 eller 2, som bliver rask, før den planlagte ferieperiode er ovre, har ret til i forlængelse af sin raskmelding at holde den resterende del af den planlagte ferieperiode, såfremt lønmodtageren ved sin raskmelding giver besked herom.",12,LBK nr 152 af 20/02/2024
4,,,"Bopælskommunen afholder udgifter forbundet med tandpleje efter §§ 131, 133, 134 a og 135. Tilbyder en anden kommune end bopælskommunen tandpleje til borgere med særlige sociale problemer, jf. § 134 a, stk. 1, har denne kommune ret til mellemkommunal refusion for udgifter til tandpleje efter § 134 a, stk. 1, fra bopælskommunen.",249,LBK nr 1015 af 05/09/2024
5,,,"Statens tilskud til den enkelte kommunes små storbyteatre fastsættes under et i en 4-årig aftale mellem staten og kommunen. Tilskud til husleje kan kun udgøre indtil 15 pct. af det tilskudsberettigede kommunale driftstilskud til det enkelte lille storbyteater. Statstilskuddet ydes kun, såfremt kommunen har indgået minimum 3-årige aftaler om driftstilskud med de enkelte teatre. Kulturministeren fastsætter efter forhandling med Kommunernes Landsforening nærmere regler om ordningen for små storbyteatre. Kulturministeren kan i forbindelse med kulturaftaler med kommuner m.v. fravige bestemmelserne i stk. 1-4 og i § 16 a.",16 b,LBK nr 1473 af 30/11/2023
6,,,"Er det ultimative moderselskab hjemmehørende i en jurisdiktion med en selskabsskattesats på 20 pct. eller højere, nedsættes ekstraskatten efter reglerne i afsnit III om underbeskattet overskud til nul for hvert regnskabsår af højst 12 måneders varighed, der påbegyndes den 31. december 2025 eller før, og som slutter senest den 30. december 2026.",75,LOV nr 1535 af 12/12/2023
7,,,"Børne- og undervisningsministeren fastsætter regler om, at kursister, der modtager efterløn eller en aldersbetinget pension, og som ikke eller kun i mindre omfang har arbejdsmarkedstilknytning, og som deltager i almen voksenuddannelse eller hf-enkeltfag, og som ikke er omfattet af § 30, stk. 4, skal betale en deltagerbetaling, der er højere end den, andre kursister skal betale efter regler fastsat i henhold til § 47, stk. 1, eller efter § 48, stk. 1. Børne- og undervisningsministeren skal for kursister omfattet af regler fastsat i henhold til stk. 1 nedsætte en eller flere takster pr. årselev, som er fastsat på de årlige finanslove, for de taxametertilskud, der ydes efter § 30, stk. 1-3, med det beløb, hvormed deltagerbetalingen er forhøjet for de pågældende kursister. Regler fastsat efter stk. 1 og takstnedsættelse efter stk. 2 kan tidligst have virkning for undervisningsforløb, der påbegyndes 1 måned efter bekendtgørelsens offentliggørelse i Lovtidende.",49 a,LBK nr 146 af 14/02/2024
8,,,"Rådet og personer, som rådet har bemyndiget hertil, har til enhver tid uden retskendelse mod behørig legitimation adgang til forsøgslokaler og andre lokaler, hvor forsøgsdyr anbringes, med henblik på at tilvejebringe oplysninger til brug for tilsynet. Den, der leder forsøgene, og personer, der er beskæftiget med forsøgene eller med dyrenes pasning, skal yde tilsynsmyndigheden vejledning og hjælp under tilsyn efter stk. 1.",11,LBK nr 63 af 19/01/2024
9,,,"Beskæftigelsesministeren fastsætter regler om, hvordan jobcenteret skal foretage vurderingen af de lediges uddannelses- eller beskæftigelsespotentiale. Beskæftigelsesministeren fastsætter regler om et landsdækkende digitalt afklarings- og dialogværktøj, som kan benyttes af jobcentre og arbejdsløshedskasser.",8,LBK nr 280 af 01/03/2024
